1R time FTT,1R distance FTT,1R time SD,1R distance SD
4.433333333333334,5.1931934309028245,9.333333333333334,3.2792969900215927
4.266666666666667,4.924801018372625,7.533333333333333,3.2792969900215927
3.7666666666666666,4.151311821793312,5.766666666666667,3.2792969900215927
3.2666666666666666,3.4012449738782835,3.966666666666667,3.2792969900215927
3.5,3.78815403640544,11.133333333333333,3.2792969900215927
3R time FTT,3R distance FTT,3R time SD,3R distance SD
4.5,5.275491088531124,11.133333333333333,4.3305644838478825
4.5,5.275491088531124,11.133333333333333,4.3305644838478825
4.5,5.275491088531124,11.133333333333333,4.3305644838478825
4.5,5.275491088531124,11.133333333333333,4.3305644838478825
4.5,5.275491088531124,11.133333333333333,4.3305644838478825
5R time FTT,5R distance FTT,5R time SD,5R distance SD
5.666666666666667,7.0390787764941924,11.133333333333333,5.895234409992929
5.666666666666667,7.0390787764941924,11.133333333333333,5.895234409992929
5.666666666666667,7.0390787764941924,11.133333333333333,5.895234409992929
5.666666666666667,7.0390787764941924,11.133333333333333,5.895234409992929
5.666666666666667,7.0390787764941924,11.133333333333333,5.895234409992929
7R time FTT,7R distance FTT,7R time SD,7R distance SD
6.766666666666667,8.67121876224491,11.133333333333333,7.665102005111522
6.766666666666667,8.67121876224491,11.133333333333333,7.665102005111522
6.766666666666667,8.67121876224491,11.133333333333333,7.665102005111522
6.766666666666667,8.67121876224491,11.133333333333333,7.665102005111522
6.766666666666667,8.67121876224491,11.133333333333333,7.665102005111522
10R time FTT,10R distance FTT,10R time SD,10R distance SD
8.3,11.002900944688657,11.133333333333333,10.476344245430496
8.3,11.002900944688657,11.133333333333333,10.476344245430496
8.3,11.002900944688657,11.133333333333333,10.476344245430496
8.3,11.002900944688657,11.133333333333333,10.476344245430496
8.3,11.002900944688657,11.133333333333333,10.476344245430496
100R time FTT,100R distance FTT,100R time SD,100R distance SD
67.7,100.10441701840487,73.96666666666667,100.04875705749055
67.7,100.10441701840487,73.96666666666667,100.04875705749055
67.7,100.10441701840487,73.96666666666667,100.04875705749055
67.7,100.10441701840487,73.96666666666667,100.04875705749055
67.7,100.10441701840487,73.96666666666667,100.04875705749055
1000R time FTT,1000R distance FTT,1000R time SD,1000R distance SD
667.6666666666666,1000.0065438846098,675.3666666666667,1000.0048768824823
667.6666666666666,1000.0065438846098,675.3666666666667,1000.0048768824823
667.6666666666666,1000.0065438846098,675.3666666666667,1000.0048768824823
667.6666666666666,1000.0065438846098,675.3666666666667,1000.0048768824823
667.6666666666666,1000.0065438846098,675.3666666666667,1000.0048768824823
